representative	gene_symbol	cog_id	cog_name	cog_category	functional_pathway
VNG_0448G	PyrE2	COG0856	Orotate phosphoribosyltransferase homolog	Nucleotide transport and metabolism	Undefined
VNG_0450C	GrxD	COG0278	Glutaredoxin-related protein	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0451G	PhoU	COG0704	Phosphate uptake regulator PhoU	Inorganic ion transport and metabolism	Undefined
VNG_0452G	PstB	COG1117	ABC-type phosphate transport system, ATPase component	Inorganic ion transport and metabolism	Undefined
VNG_0453G	PstA	COG0581	ABC-type phosphate transport system, permease component	Inorganic ion transport and metabolism	Undefined
VNG_0455G	PstC	COG0573	ABC-type phosphate transport system, permease component	Inorganic ion transport and metabolism	Undefined
VNG_0457G	PstS	COG0226	ABC-type phosphate transport system, periplasmic component	Inorganic ion transport and metabolism	Undefined
VNG_0458G	PhoU	COG0704	Phosphate uptake regulator PhoU	Inorganic ion transport and metabolism	Undefined
VNG_0459G	CysD	COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	Amino acid transport and metabolism	Cysteine biosynthesis
VNG_0461G	AsnS	COG0017	Aspartyl/asparaginyl-tRNA synthetase	Translation, ribosomal structure and biogenesis	Aminoacyl-tRNA synthetases
VNG_0465G	CcmA	COG1131	ABC-type multidrug transport system, ATPase component	Defense mechanisms	Undefined
VNG_0467G	ARA1	COG0656	Aldo/keto reductase, related to diketogulonate reductase	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_0468C	FixC	COG0644	Dehydrogenase (flavoprotein)	Energy production and conversion	Undefined
VNG_0470G	CcmA	COG1131	ABC-type multidrug transport system, ATPase component	Defense mechanisms	Undefined
VNG_0471C	XRE	COG1476	DNA-binding transcriptional regulator, XRE-family HTH domain	Transcription	Undefined
VNG_0473G	PorB	COG1013	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit	Energy production and conversion	Pyruvate oxidation
VNG_0474G	PorA|PorG	COG0674|COG1014	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit|Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit	Energy production and conversion	Pyruvate oxidation
VNG_0475a	MutT	COG0494	8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	Defense mechanisms	Undefined
VNG_0475C	Fpr	COG1018	Flavodoxin/ferredoxin--NADP reductase	Energy production and conversion	Undefined
VNG_0479G	FabG	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_0481G	Sbm	COG1884	Methylmalonyl-CoA mutase, N-terminal domain/subunit	Lipid transport and metabolism	Undefined
VNG_0482H	ArgA	COG1246	N-acetylglutamate synthase or related acetyltransferase, GNAT family	Amino acid transport and metabolism	Arginine biosynthesis
VNG_0483C	LolA	COG2834	Outer membrane lipoprotein-sorting protein	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0484G	Acs	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	Lipid transport and metabolism	Undefined
VNG_0486G	RimL	COG1670	Protein N-acetyltransferase, RimJ/RimL family	Translation, ribosomal structure and biogenesis	Undefined
VNG_0487H	RimL	COG1670	Protein N-acetyltransferase, RimJ/RimL family	Translation, ribosomal structure and biogenesis	Undefined
VNG_0489G	DnaJ	COG0484	DnaJ-class molecular chaperone with C-terminal Zn finger domain	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0491G	DnaK	COG0443	Molecular chaperone DnaK (HSP70)	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0494G	GrpE	COG0576	Molecular chaperone GrpE (heat shock protein HSP-70)	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0500G	Undefined	COG1938	Predicted ATP-dependent carboligase, ATP-grasp superfamily	General function prediction only	Undefined
VNG_0501G	AraJ	COG2814	Predicted arabinose efflux permease AraJ, MFS family	Carbohydrate transport and metabolism	Undefined
VNG_0502G	AspB	COG0436	Aspartate/methionine/tyrosine aminotransferase	Amino acid transport and metabolism	Isoleucine, leucine, valine biosynthesis
VNG_0504G	GTP1	COG0012	Ribosome-binding ATPase YchF, GTP1/OBG family	Translation, ribosomal structure and biogenesis	Undefined
VNG_0507C	Undefined	COG4801	Predicted acyltransferase, contains DUF342 domain	General function prediction only	Undefined
VNG_0510G	RPT1	COG1222	ATP-dependent 26S proteasome regulatory subunit	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0512G	SbcD	COG0420	DNA repair exonuclease SbcCD nuclease subunit	Replication, recombination and repair	Undefined
VNG_0514C	SbcC	COG0419	DNA repair exonuclease SbcCD ATPase subunit	Replication, recombination and repair	Undefined
VNG_0521G	PolB	COG0417	DNA polymerase B elongation subunit	Replication, recombination and repair	Undefined
VNG_0523G	YdfG	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	Energy production and conversion	Pyrimidine degradation
VNG_0524G	SufC	COG0396	Fe-S cluster assembly ATPase SufC	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0525C	SufB	COG0719	Fe-S cluster assembly scaffold protein SufB	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0527C	SufB	COG0719	Fe-S cluster assembly scaffold protein SufB	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0530G	MntR	COG1321	Mn-dependent transcriptional regulator MntR, DtxR family	Transcription	Undefined
VNG_0533H	AIM24	COG2013	AIM24 protein, required for mitochondrial respiration	Energy production and conversion	Undefined
VNG_0534C	RnaY	COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y	Translation, ribosomal structure and biogenesis	Undefined
VNG_0535C	Gdt1	COG2119	Putative Ca2+/H+ antiporter, TMEM165/GDT1 family	General function prediction only	Undefined
VNG_0536G	MntR	COG1321	Mn-dependent transcriptional regulator MntR, DtxR family	Transcription	Undefined
VNG_0537C	Undefined	COG4666	TRAP-type uncharacterized transport system, fused permease components	General function prediction only	Undefined
VNG_0539C	Undefined	COG4729	Uncharacterized conserved protein, DUF1850 family	Function unknown	Undefined
VNG_0540G	Imp	COG2358	TRAP-type uncharacterized transport system, periplasmic component	General function prediction only	Undefined
VNG_0541G	ThrC	COG0498	Threonine synthase	Amino acid transport and metabolism	Threonine biosynthesis
VNG_0542C	Undefined	COG1233	Phytoene dehydrogenase-related protein	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_0543H	Undefined	COG1407	Metallophosphoesterase superfamily enzyme	General function prediction only	Undefined
VNG_0546C	Undefined	COG2047	Proteasome assembly chaperone (PAC2) family protein	General function prediction only	Undefined
VNG_0548C	Nop10	COG2260	rRNA maturation protein Nop10, contains Zn-ribbon domain	Translation, ribosomal structure and biogenesis	16S rRNA modification
VNG_0549G	SUI2	COG1093	Translation initiation factor 2, alpha subunit (eIF-2alpha)	Translation, ribosomal structure and biogenesis	Translation factors
VNG_0550G	RPS27A	COG2051	Ribosomal protein S27E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_0551G	RPL42A	COG1631	Ribosomal protein L44E	Translation, ribosomal structure and biogenesis	Archaeal ribosomal proteins
VNG_0555C	Undefined	COG5427	Predicted membrane glycosyltransferase AF0583, Arch_YYY/DUF2298 family	Function unknown	Undefined
VNG_0556G	RfbX	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0557H	YajL	COG0693	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)	Defense mechanisms	Undefined
VNG_0559G	Apt	COG0503	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	Nucleotide transport and metabolism	Purine salvage
VNG_0560C	HyfB	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	Energy production and conversion	Undefined
VNG_0563G	HyfB	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	Energy production and conversion	Undefined
VNG_0565C	MnhC	COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit	Inorganic ion transport and metabolism	Undefined
VNG_0566C	MnhB	COG2111	Multisubunit Na+/H+ antiporter, MnhB subunit	Inorganic ion transport and metabolism	Undefined
VNG_0568C	MnhF	COG2212	Multisubunit Na+/H+ antiporter, MnhF subunit	Inorganic ion transport and metabolism	Undefined
VNG_0570H	MnhG	COG1320	Multisubunit Na+/H+ antiporter, MnhG subunit	Inorganic ion transport and metabolism	Undefined
VNG_0571C	MnhE	COG1863	Multisubunit Na+/H+ antiporter, MnhE subunit	Inorganic ion transport and metabolism	Undefined
VNG_0572G	CoaBC	COG0452	Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC	Coenzyme transport and metabolism	Pantothenate/CoA biosynthesis
VNG_0573C	PetE	COG3794	Plastocyanin	Energy production and conversion	Undefined
VNG_0574C	Undefined	COG4746	Uncharacterized conserved protein	Function unknown	Undefined
VNG_0575G	Iap	COG2234	Zn-dependent amino- or carboxypeptidase, M28 family	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0584H	QcrA/PetC	COG0723	Rieske Fe-S protein	Energy production and conversion	Undefined
VNG_0586C	PetE	COG3794	Plastocyanin	Energy production and conversion	Undefined
VNG_0592G	Nth	COG0177	Endonuclease III	Replication, recombination and repair	Undefined
VNG_0593G	MVD1	COG3407	Mevalonate pyrophosphate decarboxylase	Lipid transport and metabolism	Isoprenoid biosynthesis
VNG_0595H	GloA	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	Secondary metabolites biosynthesis, transport and catabolism	Undefined
VNG_0598C	RfaB	COG0438	Glycosyltransferase involved in cell wall bisynthesis	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0599C	RPR2	COG2023	Ribonuclease P protein subunit RPR2	Translation, ribosomal structure and biogenesis	Undefined
VNG_0600C	RfaB	COG0438	Glycosyltransferase involved in cell wall bisynthesis	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0601H	YhbY	COG1534	RNA-binding protein YhbY	Translation, ribosomal structure and biogenesis	Undefined
VNG_0602C	UspA	COG0589	Nucleotide-binding universal stress protein,  UspA family	Signal transduction mechanisms	Undefined
VNG_0608C	YccU	COG1832	Predicted CoA-binding protein	General function prediction only	Undefined
VNG_0610G	UbiA	COG0382	4-hydroxybenzoate polyprenyltransferase	Coenzyme transport and metabolism	Ubiquinone biosynthesis
VNG_0615C	TrkA	COG0569	Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain	Inorganic ion transport and metabolism	Undefined
VNG_0620G	SppA	COG0616	Periplasmic serine protease, ClpP class	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0622H	Undefined	COG3380	Predicted NAD/FAD-dependent oxidoreductase	General function prediction only	Undefined
VNG_0623G	MmdA	COG4799	Acetyl-CoA carboxylase, carboxyltransferase component	Lipid transport and metabolism	Undefined
VNG_0626G	MaoC	COG2030	Acyl-CoA dehydratase PaaZ	Lipid transport and metabolism	Undefined
VNG_0627G	CitE	COG2301	Citrate lyase beta subunit	Carbohydrate transport and metabolism	Undefined
VNG_0628G	GdhA	COG0334	Glutamate dehydrogenase/leucine dehydrogenase	Amino acid transport and metabolism	Glutamine biosynthesis
VNG_0629G	AspB	COG0436	Aspartate/methionine/tyrosine aminotransferase	Amino acid transport and metabolism	Isoleucine, leucine, valine biosynthesis
VNG_0630G	RibE	COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	Coenzyme transport and metabolism	Riboflavin/FAD biosynthesis
VNG_0631C	PMT	COG4745	Predicted membrane-bound mannosyltransferase, involved in protein glycosylation	General function prediction only	Undefined
VNG_0632G	PurK	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	Nucleotide transport and metabolism	Purine biosynthesis
VNG_0633G	PurE	COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	Nucleotide transport and metabolism	Purine biosynthesis
VNG_0635G	NuoA	COG0838	NADH:ubiquinone oxidoreductase subunit 3 (chain A)	Energy production and conversion	NADH dehydrogenase
VNG_0636G	NuoB	COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase	Energy production and conversion	NADH dehydrogenase
VNG_0637G	NuoD|NuoC	COG0649|COG0852	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)|NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)	Energy production and conversion	NADH dehydrogenase
VNG_0639G	NuoH	COG1005	NADH:ubiquinone oxidoreductase subunit 1 (chain H)	Energy production and conversion	NADH dehydrogenase
VNG_0640G	NuoI	COG1143	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	Energy production and conversion	NADH dehydrogenase
VNG_0643G	NuoK	COG0713	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)	Energy production and conversion	NADH dehydrogenase
VNG_0646G	NuoL	COG1009	Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	Energy production and conversion	NADH dehydrogenase
VNG_0647G	NuoM	COG1008	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	Energy production and conversion	NADH dehydrogenase
VNG_0648G	NuoN	COG1007	NADH:ubiquinone oxidoreductase subunit 2 (chain N)	Energy production and conversion	NADH dehydrogenase
VNG_0650C	NrnA	COG0618	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs	Nucleotide transport and metabolism	Undefined
VNG_0653G	Sbm	COG1884	Methylmalonyl-CoA mutase, N-terminal domain/subunit	Lipid transport and metabolism	Undefined
VNG_0654C	RimI	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	Translation, ribosomal structure and biogenesis	Undefined
VNG_0657G	CyoB	COG0843	Heme/copper-type cytochrome/quinol oxidase, subunit 1	Energy production and conversion	Undefined
VNG_0662G	CyoC	COG1845	Heme/copper-type cytochrome/quinol oxidase, subunit 3	Energy production and conversion	Undefined
VNG_0664G	BirA2	COG0340	Biotin-(acetyl-CoA carboxylase) ligase	Coenzyme transport and metabolism	Biotin biosynthesis
VNG_0665G	CyoA	COG1622	Heme/copper-type cytochrome/quinol oxidase, subunit 2	Energy production and conversion	Undefined
VNG_0666G	CyoE	COG0109	Polyprenyltransferase (heme O synthase)	Coenzyme transport and metabolism	Undefined
VNG_0668C	CcmA	COG1131	ABC-type multidrug transport system, ATPase component	Defense mechanisms	Undefined
VNG_0671H	YozB	COG2322	Predicted membrane metallochaperone YozB (3H, Sco1 fusion), DUF420 family	General function prediction only	Undefined
VNG_0673G	Sbm	COG2185	Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)	Lipid transport and metabolism	Undefined
VNG_0674C	ArgK	COG1703	GTPase of the G3E family (not a periplasmic protein kinase)	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0675C	MenH	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold	Coenzyme transport and metabolism	Menaquinone biosynthesis
VNG_0676C	Undefined	COG1545	Uncharacterized OB-fold protein, contains Zn-ribbon domain	General function prediction only	Undefined
VNG_0678G	PaaJ	COG0183	Acetyl-CoA acetyltransferase	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_0679G	CaiA	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_0680G	ERG9	COG1562	Phytoene/squalene synthetase	Lipid transport and metabolism	Undefined
VNG_0681G	FadB	COG1250	3-hydroxyacyl-CoA dehydrogenase	Lipid transport and metabolism	Fatty acid biosynthesis
VNG_0683C	FbaB	COG1830	Fructose-bisphosphate aldolase class Ia, DhnA family	Carbohydrate transport and metabolism	Glycolysis
VNG_0684G	Fbp	COG0158	Fructose-1,6-bisphosphatase	Carbohydrate transport and metabolism	Gluconeogenesis
VNG_0686C	SRAP	COG2135	ssDNA abasic site-binding protein YedK/HMCES, SRAP family	Replication, recombination and repair	Undefined
VNG_0688H	Undefined	COG4742	Predicted transcriptional regulator, contains HTH domain	Transcription	Undefined
VNG_0689G	CcmA	COG1131	ABC-type multidrug transport system, ATPase component	Defense mechanisms	Undefined
VNG_0692C	NatB	COG1668	ABC-type Na+ efflux pump, permease component NatB	Energy production and conversion	Undefined
VNG_0694G	Undefined	COG1833	Uri superfamily endonuclease	General function prediction only	Undefined
VNG_0698H	RAD55	COG0467	RecA-superfamily ATPase, KaiC/GvpD/RAD55 family	Signal transduction mechanisms	Undefined
VNG_0700G	ZntA	COG2217	Cation-transporting P-type ATPase	Inorganic ion transport and metabolism	Undefined
